
PING (cm)     IR Value

22.43    1103

22.38    1107

22.39    1107

22.38    1095

22.39    1101

22.43    1099

22.57    1107

23.22    1081

23.50    1081

23.89    1083

23.74    1065

24.62    1036

25.20    1034

25.80    1027

26.00    975

26.49    1017

27.31    957

27.58    985

28.00    960

28.01    987

28.06    939

28.55    969

29.15    921

30.13    943

27.78    905

30.96    925

31.05    907

31.53    907

32.02    907

32.60    891

33.12    887

33.74    893

34.32    871

35.34    875

36.50    883

36.79    846

37.42    851

38.03    845

39.05    830

39.59    827

40.22    835

39.77    837

41.27    811

41.27    816

41.71    811

42.73    815

43.39    803

43.14    791

44.22    791

44.86    775

45.62    779

45.88    779

47.10    759

47.50    753

48.90    755

50.00    736

50.78    752

51.07    737

51.71    747

52.07    735

48.14    723

54.31    715

49.73    715

34.71    711

56.05    715

56.64    711

57.20    697

57.68    713

58.27    715

58.44    717

59.08    735

60.16    719

60.25    699

60.34    697

60.76    696

60.91    699

61.08    719

61.95    700

62.47    699

63.78    702

52.57    699

64.46    699

44.58    739

66.33    699

50.78    677

41.72    667

47.85    675

59.55    680

65.10    667

70.17    677

70.60    671

71.65    675

72.07    667

72.31    675

73.63    679

74.17    647

74.70    653

75.66    653

77.14    655

77.07    649

77.90    651

77.66    677

78.57    655

79.60    657

80.67    635

79.91    651

80.50    655

81.06    655

82.35    633

83.23    635

82.86    655

83.04    627

84.35    635

84.82    651

84.69    631

85.51    623

86.49    637

87.40    651

87.99    657

88.50    653

89.04    635

89.54    632

90.10    641

91.00    629

90.57    640

91.48    629

92.02    631

69.05    627

65.29    631

57.67    627

44.55    629

45.69    635

64.86    611

58.89    631

82.48    611

96.65    611

98.26    640

97.50    635

98.03    629

98.57    616

100.42   615

100.11   611

77.09    611

68.79    611

63.28    617

102.29   617

89.02    610

70.35    625

59.96    611

52.17    615

73.18    628

70.61    610

50.16    611

56.48    611

65.31    624

68.65    617

53.24    611

82.84    603

69.78    601

108.54   611

108.41   610

110.54   603

109.70   617

109.77   611

111.82   615

110.62   614

85.62    603

111.43   625

112.88   611

113.23   623

114.50   599

114.53   611

115.34   615

114.94   608

114.92   599

101.04   603

85.77    612

77.45    603

88.48    599

117.31   597
